Time [s]	Tatm [K]	Patm [Pa]	RH [%]	Re	delPorf [Pa]	mp [kg/s]	Ps [Pa]
18.409053	300.188654	86130.000000	43.000000	39715.641217	2117.143025	0.210448	-35.760564
18.802075	300.168698	86130.000000	43.000000	39635.338351	2171.833361	0.210048	-34.430873
19.192098	300.165705	86130.000000	43.000000	40137.629642	2142.846119	0.212696	-34.482759
19.583120	300.165705	86130.000000	43.000000	39875.999902	2146.103184	0.211308	-35.115181
19.974142	300.170693	86130.000000	43.000000	39906.138270	2129.872028	0.211468	-34.440600
20.367165	300.168698	86130.000000	43.000000	39756.213114	2158.732377	0.210677	-35.689222
20.759187	300.183665	86130.000000	43.000000	40020.212473	2160.664880	0.212074	-33.976827
21.152210	300.173687	86130.000000	43.000000	40031.449476	2142.147497	0.212144	-34.547620
21.542232	300.162711	86130.000000	43.000000	39867.136418	2151.229283	0.211266	-34.262224
21.935255	300.162711	86130.000000	43.000000	39952.971137	2133.292543	0.211714	-34.547620
22.326277	300.165705	86130.000000	43.000000	39790.082216	2178.392960	0.210851	-34.284927
22.719299	300.175682	86130.000000	43.000000	40197.633230	2169.283918	0.213012	-35.105454
23.110322	300.170693	86130.000000	43.000000	40112.874114	2128.247995	0.212570	-34.031961
23.502344	300.180671	86130.000000	43.000000	39741.013514	2163.069130	0.210596	-35.627593
23.895367	300.165705	86130.000000	43.000000	40055.536029	2168.893809	0.212269	-34.401674
24.286389	300.175682	86130.000000	43.000000	40111.990660	2192.056458	0.212559	-35.309766
24.677411	300.141758	86130.000000	43.000000	40318.170892	2126.533282	0.213658	-34.606002
25.070434	300.160716	86130.000000	43.000000	39735.142966	2145.313881	0.210546	-33.798450
31.726814	300.196636	86130.000000	43.000000	40134.657829	2166.008682	0.212702	-34.820042
32.117837	300.212601	86130.000000	43.000000	40076.237181	2169.909943	0.212389	-34.768156
32.508859	300.188654	86130.000000	43.000000	40106.234285	2140.813807	0.212559	-34.476263
32.901882	300.196636	86130.000000	43.000000	39850.049774	2127.522203	0.211185	-34.703294
33.294904	300.178676	86130.000000	43.000000	39726.585380	2155.076118	0.210536	-34.297902
33.686927	300.186658	86130.000000	43.000000	39982.578095	2166.770816	0.211881	-34.051416
34.077949	300.180671	86130.000000	43.000000	40085.645241	2155.983358	0.212433	-35.309766
34.471972	300.186658	86130.000000	43.000000	39991.019214	2130.915505	0.211927	-34.330333
34.862994	300.168698	86130.000000	43.000000	39760.388203	2137.475061	0.210709	-34.680591
35.255016	300.194640	86130.000000	43.000000	39826.217870	2133.256288	0.211046	-34.495734
35.645039	300.175682	86130.000000	43.000000	39779.343236	2149.042779	0.210815	-34.735725
36.039061	300.162711	86130.000000	43.000000	39929.204706	2151.084134	0.211597	-34.878423
36.431084	300.170693	86130.000000	43.000000	39952.038453	2141.231172	0.211709	-34.486007
36.822106	300.162711	86130.000000	43.000000	39859.637760	2154.005515	0.211225	-33.989787
37.212128	300.186658	86130.000000	43.000000	39977.808081	2156.101295	0.211846	-34.138981
37.605151	300.157722	86130.000000	43.000000	39989.221281	2161.027776	0.211922	-34.164931
37.998173	300.180671	86130.000000	43.000000	40043.190064	2149.287738	0.212189	-34.200594
38.387196	300.180671	86130.000000	43.000000	39929.391161	2147.527598	0.211601	-34.521670
38.778218	300.170693	86130.000000	43.000000	39913.662562	2151.038750	0.211517	-34.862215
39.172240	300.170693	86130.000000	43.000000	39949.051548	2155.829123	0.211698	-34.567076
39.563263	300.168698	86130.000000	43.000000	39992.230141	2160.737476	0.211927	-34.638433
39.954285	300.191647	86130.000000	43.000000	40037.381117	2174.673104	0.212165	-34.317357
40.345307	300.168698	86130.000000	43.000000	40155.574085	2163.096343	0.212807	-34.677343
40.738330	300.186658	86130.000000	43.000000	40058.724702	2146.457038	0.212278	-34.576803
41.129352	300.160716	86130.000000	43.000000	39902.031615	2141.231172	0.211460	-34.528165
41.520375	300.180671	86130.000000	43.000000	39862.826303	2115.954528	0.211235	-34.816809
41.913397	300.162711	86130.000000	43.000000	39626.062731	2152.508548	0.209993	-35.014641
42.305419	300.175682	86130.000000	43.000000	39965.053919	2130.697759	0.211778	-34.508694
42.698442	300.168698	86130.000000	43.000000	39762.116951	2159.240466	0.210711	-34.745452
43.088464	300.175682	86130.000000	43.000000	40023.949928	2166.843369	0.212094	-33.889247
43.479487	300.168698	86130.000000	43.000000	40089.712654	2150.966153	0.212447	-34.067624
43.872509	300.175682	86130.000000	43.000000	39948.346340	2155.910805	0.211693	-34.268704
44.264532	300.175682	86130.000000	43.000000	39991.117140	2138.781538	0.211925	-34.207090
44.656554	300.191647	86130.000000	43.000000	39835.542520	2143.435847	0.211100	-35.186523
45.047576	300.191647	86130.000000	43.000000	39873.571629	2144.370300	0.211312	-34.378971
45.440599	300.183665	86130.000000	43.000000	39881.376595	2144.143511	0.211353	-34.998418
45.832621	300.186658	86130.000000	43.000000	39882.391694	2150.848217	0.211354	-34.466536
46.223644	300.191647	86130.000000	43.000000	39941.847301	2128.946617	0.211671	-34.933557
46.615666	300.186658	86130.000000	43.000000	39741.391404	2147.990346	0.210612	-34.677343
47.008688	300.186658	86130.000000	43.000000	39916.095980	2141.249300	0.211534	-34.489239
47.399711	300.183665	86130.000000	43.000000	39854.701875	2163.413899	0.211209	-35.150844
47.791733	300.186658	86130.000000	43.000000	40057.256208	2135.624240	0.212280	-34.573571
48.183756	300.175682	86130.000000	43.000000	39803.592277	2120.191472	0.210938	-34.904374
48.575778	300.188654	86130.000000	43.000000	39666.575079	2168.503700	0.210205	-34.732477
48.966801	300.180671	86130.000000	43.000000	40101.307472	2159.476340	0.212517	-34.901126
49.357823	300.188654	86130.000000	43.000000	40022.350730	2212.460917	0.212093	-34.826537
49.749846	300.209607	86130.000000	43.000000	40496.257715	2207.280435	0.214610	-35.874079
50.141868	300.209607	86130.000000	43.000000	40443.953640	2172.169044	0.214347	-35.520573
50.532890	300.191647	86130.000000	43.000000	40128.170476	2159.186040	0.212673	-35.429761
50.926913	300.220583	86130.000000	43.000000	40016.539989	2150.884515	0.212070	-35.037345
57.582294	300.199629	86130.000000	43.000000	39871.462318	2140.396485	0.211321	-35.115181
57.974316	300.204618	86130.000000	43.000000	39843.223204	2150.857302	0.211156	-34.764908
58.365338	300.206614	86130.000000	43.000000	39936.342941	2175.680239	0.211653	-35.523821
58.757360	300.201625	86130.000000	43.000000	40160.822414	2150.821004	0.212844	-33.386563
59.149383	300.209607	86130.000000	43.000000	39935.779665	2184.471683	0.211648	-35.011394
59.542406	300.194640	86130.000000	43.000000	40238.570105	2172.649920	0.213258	-36.029753
59.934428	300.227567	86130.000000	43.000000	40137.769864	2188.554392	0.212714	-35.095711
60.326450	300.194640	86130.000000	43.000000	40269.508334	2189.643123	0.213434	-34.524917
60.717473	300.194640	86130.000000	43.000000	40289.466667	2183.936381	0.213518	-35.394083
61.110495	300.206614	86130.000000	43.000000	40238.871330	2146.066929	0.213250	-34.378971
61.502518	300.194640	86130.000000	43.000000	39891.783800	2136.749269	0.211418	-34.670863
61.893540	300.214596	86130.000000	43.000000	39811.134436	2138.491195	0.210983	-34.622209
62.284562	300.199629	86130.000000	43.000000	39820.557014	2171.978511	0.211046	-34.888151
62.676585	300.212601	86130.000000	43.000000	40129.024909	2165.228422	0.212671	-35.118414
63.070607	300.212601	86130.000000	43.000000	40064.063506	2176.043135	0.212335	-34.761676
63.462630	300.235550	86130.000000	43.000000	40161.372813	2107.843536	0.212851	-35.455712
63.853652	300.220583	86130.000000	43.000000	39534.646217	2173.811204	0.209544	-35.196250
64.246675	300.212601	86130.000000	43.000000	40139.060821	2113.405085	0.212738	-34.430873
64.637697	300.212601	86130.000000	43.000000	39592.058089	2166.770816	0.209834	-35.672999
65.029719	300.212601	86130.000000	43.000000	40078.497093	2235.814057	0.212412	-34.771403
65.420742	300.201625	86130.000000	43.000000	40696.242682	2116.771044	0.215686	-34.738972
65.814764	300.212601	86130.000000	43.000000	39626.569027	2148.162709	0.210009	-35.929213
66.206787	300.201625	86130.000000	43.000000	39910.151285	2152.390568	0.211519	-34.729245
66.598809	300.214596	86130.000000	43.000000	39950.998663	2140.387400	0.211729	-34.998418
66.990831	300.227567	86130.000000	43.000000	39838.058895	2140.804765	0.211139	-35.137884
67.381854	300.209607	86130.000000	43.000000	39837.811143	2120.273111	0.211146	-34.897878
67.774876	300.206614	86130.000000	43.000000	39656.207654	2138.355131	0.210172	-35.364900
68.166899	300.201625	86130.000000	43.000000	39822.477470	2139.634395	0.211051	-35.575707
68.557921	300.206614	86130.000000	43.000000	39835.883972	2141.358194	0.211119	-33.759524
68.949944	300.194640	86130.000000	43.000000	39848.432658	2164.339309	0.211188	-34.995186
69.341966	300.225572	86130.000000	43.000000	40061.718926	2158.315055	0.212311	-33.736821
69.733988	300.180671	86130.000000	43.000000	39996.200848	2133.918568	0.211984	-33.834113
70.125010	300.209607	86130.000000	43.000000	39789.194045	2135.297642	0.210858	-35.342197
70.515033	300.188654	86130.000000	43.000000	39793.790065	2130.162500	0.210901	-33.383315
70.909056	300.206614	86130.000000	43.000000	39752.062305	2155.829123	0.210666	-34.437353
71.301078	300.204618	86130.000000	43.000000	39980.493137	2171.243633	0.211888	-35.335717
71.694100	300.201625	86130.000000	43.000000	40121.305757	2171.143824	0.212633	-33.827633
72.084123	300.217590	86130.000000	43.000000	40120.063344	2140.024504	0.212625	-34.845992
72.477145	300.191647	86130.000000	43.000000	39833.835037	2154.459135	0.211118	-34.463304
72.869168	300.196636	86130.000000	43.000000	39972.924914	2142.283605	0.211839	-34.570323
73.261190	300.194640	86130.000000	43.000000	39860.910210	2150.113339	0.211248	-34.696799
73.654212	300.199629	86130.000000	43.000000	39932.738408	2190.187466	0.211628	-35.368147
74.046235	300.188654	86130.000000	43.000000	40293.505158	2138.817836	0.213543	-33.603850
74.438257	300.199629	86130.000000	43.000000	39831.080250	2147.382448	0.211085	-34.713022
74.829280	300.196636	86130.000000	43.000000	39906.341840	2175.598557	0.211491	-34.722749
75.220302	300.170693	86130.000000	43.000000	40162.583308	2145.885481	0.212847	-34.969235
75.613325	300.196636	86130.000000	43.000000	39902.242965	2132.875221	0.211450	-35.591930
76.004347	300.183665	86130.000000	43.000000	39776.088734	2144.914687	0.210799	-33.795203
76.396369	300.183665	86130.000000	43.000000	39888.244233	2143.807828	0.211385	-33.860064
76.787392	300.191647	86130.000000	43.000000	39878.239021	2141.476131	0.211332	-36.266511
83.447773	300.178676	86130.000000	43.000000	39843.556289	2120.808413	0.211138	-35.617865
83.839795	300.152733	86130.000000	43.000000	39671.909571	2121.144096	0.210235	-34.323837
84.229817	300.165705	86130.000000	43.000000	39682.212169	2169.084342	0.210273	-35.277335
84.620840	300.191647	86130.000000	43.000000	40114.500962	2108.088495	0.212572	-34.132485
85.013862	300.178676	86130.000000	43.000000	39550.079872	2172.940219	0.209598	-35.180043
85.403884	300.178676	86130.000000	43.000000	40145.126484	2152.454079	0.212743	-35.799490
85.795907	300.194640	86130.000000	43.000000	39960.288912	2164.919951	0.211763	-35.780035
86.186929	300.194640	86130.000000	43.000000	40067.997550	2134.453870	0.212344	-35.244904
86.578952	300.180671	86130.000000	43.000000	39791.065463	2156.872471	0.210877	-35.283815
86.969974	300.196636	86130.000000	43.000000	39999.244822	2140.332974	0.211971	-35.783267
87.361997	300.165705	86130.000000	43.000000	39844.387836	2157.407772	0.211161	-35.523821
87.753019	300.180671	86130.000000	43.000000	40009.095348	2153.279723	0.212013	-35.660024
88.145041	300.160716	86130.000000	43.000000	39966.960355	2157.943074	0.211800	-34.690319
88.537064	300.191647	86130.000000	43.000000	40014.813166	2157.489454	0.212040	-34.560596
88.929086	300.175682	86130.000000	43.000000	40000.608444	2131.178635	0.211985	-35.144364
89.320108	300.162711	86130.000000	43.000000	39767.148187	2165.963342	0.210738	-34.541140
89.712131	300.160716	86130.000000	43.000000	40086.627572	2090.033818	0.212422	-35.514093
90.104154	300.170693	86130.000000	43.000000	39395.097206	2154.205134	0.208757	-35.689222
90.496176	300.175682	86130.000000	43.000000	39978.597244	2163.178025	0.211855	-35.290310
90.889198	300.170693	86130.000000	43.000000	40057.884439	2128.402230	0.212278	-35.218954
91.282221	300.162711	86130.000000	43.000000	39743.487738	2156.427936	0.210609	-35.468687
91.673243	300.178676	86130.000000	43.000000	40001.133857	2106.800189	0.211969	-35.890302
92.064266	300.170693	86130.000000	43.000000	39543.905217	2147.582067	0.209557	-35.222201
92.456288	300.175682	86130.000000	43.000000	39918.143450	2152.517590	0.211535	-34.962740
92.849310	300.173687	86130.000000	43.000000	39961.111185	2118.649121	0.211766	-35.287063
93.240333	300.188654	86130.000000	43.000000	39653.547131	2175.362640	0.210134	-35.222201
93.632355	300.170693	86130.000000	43.000000	40163.755526	2109.277036	0.212848	-35.562732
94.023377	300.191647	86130.000000	43.000000	39568.941666	2122.677361	0.209684	-34.959508
94.416400	300.157722	86130.000000	43.000000	39684.407475	2135.542601	0.210310	-35.397330
94.808423	300.160716	86130.000000	43.000000	39813.029361	2194.007045	0.210969	-34.593026
95.198445	300.165705	86130.000000	43.000000	40340.111406	2147.436874	0.213764	-35.400578
95.590467	300.170693	86130.000000	43.000000	39918.644421	2154.885585	0.211534	-35.283815
95.984490	300.160716	86130.000000	43.000000	39984.509358	2123.557431	0.211886	-35.066528
96.375512	300.199629	86130.000000	43.000000	39702.423319	2122.713659	0.210385	-33.921693
96.766534	300.173687	86130.000000	43.000000	39681.311505	2181.132936	0.210298	-36.360556
97.157557	300.165705	86130.000000	43.000000	40221.634159	2172.622707	0.213145	-35.780035
97.550580	300.139762	86130.000000	43.000000	40146.955851	2151.383518	0.212744	-34.070872
97.943602	300.149740	86130.000000	43.000000	39961.614720	2183.727720	0.211745	-35.316246
98.334624	300.165705	86130.000000	43.000000	40251.774474	2130.679631	0.213289	-35.377875
98.725646	300.160716	86130.000000	43.000000	39766.025949	2142.211008	0.210725	-35.085983
99.119669	300.183665	86130.000000	43.000000	39872.400803	2143.835041	0.211286	-35.481663
99.510692	300.157722	86130.000000	43.000000	39880.153775	2166.335323	0.211342	-34.080599
99.902714	300.157722	86130.000000	43.000000	40091.267528	2155.702101	0.212444	-35.698950
100.294736	300.157722	86130.000000	43.000000	39996.392093	2173.548118	0.211941	-35.481663
100.687759	300.165705	86130.000000	43.000000	40157.557666	2133.528460	0.212795	-35.053552
101.079781	300.170693	86130.000000	43.000000	39791.692606	2169.410940	0.210861	-34.239521
101.471804	300.165705	86130.000000	43.000000	40114.920447	2196.202678	0.212577	-35.416786
101.862826	300.160716	86130.000000	43.000000	40358.728182	2117.433368	0.213866	-34.700046
102.255848	300.165705	86130.000000	43.000000	39645.978362	2133.492161	0.210086	-34.573571
102.647871	300.170693	86130.000000	43.000000	39790.932544	2182.158113	0.210857	-35.283815
109.308252	300.165705	86130.000000	43.000000	39877.822202	2132.521367	0.211327	-35.913005
109.699274	300.175682	86130.000000	43.000000	39783.246594	2111.336518	0.210817	-35.591930
110.092297	300.173687	86130.000000	43.000000	39586.130578	2152.181907	0.209778	-36.756220
110.483319	300.170693	86130.000000	43.000000	39960.176676	2123.230834	0.211759	-35.478415
110.874341	300.191647	86130.000000	43.000000	39696.501658	2190.514064	0.210360	-35.225449
111.264364	300.186658	86130.000000	43.000000	40299.088561	2169.410940	0.213567	-33.970332
111.658386	300.188654	86130.000000	43.000000	40109.524259	2158.632611	0.212559	-34.953012
112.049408	300.180671	86130.000000	43.000000	40012.212646	2155.166842	0.212045	-35.685975
112.440431	300.183665	86130.000000	43.000000	39984.008848	2170.898865	0.211890	-35.997322
112.835454	300.186658	86130.000000	43.000000	40125.610384	2133.002243	0.212643	-35.796242
113.227476	300.196636	86130.000000	43.000000	39780.706788	2127.086711	0.210817	-35.575707
113.619498	300.201625	86130.000000	43.000000	39723.408807	2115.174268	0.210519	-34.657888
114.011521	300.222579	86130.000000	43.000000	39612.152723	2114.620838	0.209933	-34.297902
114.403543	300.199629	86130.000000	43.000000	39600.102235	2112.506887	0.209883	-36.230833
114.795566	300.196636	86130.000000	43.000000	39589.722951	2155.928933	0.209813	-36.717309
115.187588	300.209607	86130.000000	43.000000	39986.717103	2150.566959	0.211915	-35.491390
115.578610	300.199629	86130.000000	43.000000	39932.875963	2161.200182	0.211638	-36.224337
115.969633	300.191647	86130.000000	43.000000	40033.056699	2168.222443	0.212162	-35.017874
116.363656	300.196636	86130.000000	43.000000	40098.057478	2122.332636	0.212502	-35.478415
116.753678	300.201625	86130.000000	43.000000	39679.925286	2149.804869	0.210289	-35.721653
117.144700	300.183665	86130.000000	43.000000	39928.713980	2182.130900	0.211611	-35.394083
117.537723	300.204618	86130.000000	43.000000	40226.416184	2119.774107	0.213177	-35.929213
117.930745	300.220583	86130.000000	43.000000	39654.413847	2133.682695	0.210159	-35.257880
118.321767	300.204618	86130.000000	43.000000	39775.705988	2173.702353	0.210812	-35.955164
118.713790	300.204618	86130.000000	43.000000	40144.188462	2150.766578	0.212755	-36.146500
119.104812	300.217590	86130.000000	43.000000	39936.861238	2130.706844	0.211656	-35.964891
119.496835	300.209607	86130.000000	43.000000	39750.121518	2167.968398	0.210675	-35.809218
119.888857	300.214596	86130.000000	43.000000	40090.695952	2199.006123	0.212474	-35.040577
120.279880	300.212601	86130.000000	43.000000	40367.678845	2128.447614	0.213946	-34.748700
120.669902	300.201625	86130.000000	43.000000	39730.086491	2166.126619	0.210565	-35.348692
121.063924	300.212601	86130.000000	43.000000	40076.218841	2139.670650	0.212392	-36.052456
121.455947	300.201625	86130.000000	43.000000	39833.430828	2178.873836	0.211113	-35.436256
121.847969	300.204618	86130.000000	43.000000	40191.356161	2155.556951	0.213003	-35.011394
122.238991	300.199629	86130.000000	43.000000	39979.324648	2175.417066	0.211881	-35.783267
122.631014	300.206614	86130.000000	43.000000	40161.085390	2178.964560	0.212841	-35.293558
123.021036	300.206614	86130.000000	43.000000	40190.380302	2137.983150	0.213001	-35.348692
123.414059	300.206614	86130.000000	43.000000	39819.374952	2128.420401	0.211034	-36.013530
123.805081	300.209607	86130.000000	43.000000	39732.815544	2140.051717	0.210576	-36.230833
124.199104	300.212601	86130.000000	43.000000	39838.000298	2145.041709	0.211135	-36.383259
124.592126	300.238543	86130.000000	43.000000	39882.531633	2137.221060	0.211373	-34.790859
124.984149	300.204618	86130.000000	43.000000	39801.729668	2114.257942	0.210962	-35.274087
125.375171	300.204618	86130.000000	43.000000	39603.401918	2100.068228	0.209889	-35.381123
125.768193	300.212601	86130.000000	43.000000	39473.373717	2130.879207	0.209199	-35.598410
126.161216	300.186658	86130.000000	43.000000	39753.036153	2194.596773	0.210687	-34.502214
126.553238	300.199629	86130.000000	43.000000	40336.807186	2126.751028	0.213764	-35.553004
126.943261	300.196636	86130.000000	43.000000	39719.485580	2129.935539	0.210501	-35.290310
127.336283	300.196636	86130.000000	43.000000	39749.285725	2153.452086	0.210657	-35.533549
127.726305	300.204618	86130.000000	43.000000	39963.334123	2163.332260	0.211791	-35.770291
128.118328	300.191647	86130.000000	43.000000	40050.420910	2159.585234	0.212258	-35.030849
128.509350	300.180671	86130.000000	43.000000	40020.027548	2137.320826	0.212088	-36.234080
135.170731	300.165705	86130.000000	43.000000	39904.389268	2165.863533	0.211470	-35.205978
135.562754	300.175682	86130.000000	43.000000	40085.270162	2171.506763	0.212417	-36.247040
135.953776	300.194640	86130.000000	43.000000	40133.913241	2123.584644	0.212681	-35.043824
136.344798	300.186658	86130.000000	43.000000	39691.645927	2154.767648	0.210350	-35.514093
136.740821	300.212601	86130.000000	43.000000	39978.328914	2122.659234	0.211864	-35.844896
137.131843	300.180671	86130.000000	43.000000	39678.125636	2143.181802	0.210290	-35.160588
137.523866	300.199629	86130.000000	43.000000	39874.831033	2193.517127	0.211312	-35.436256
137.914888	300.194640	86130.000000	43.000000	40323.603110	2209.430641	0.213702	-35.225449
138.306911	300.194640	86130.000000	43.000000	40467.572563	2161.635674	0.214462	-35.792995
138.698933	300.188654	86130.000000	43.000000	40038.139714	2152.835145	0.212186	-35.261112
139.089955	300.186658	86130.000000	43.000000	39959.893457	2161.381630	0.211768	-36.285966
139.481978	300.191647	86130.000000	43.000000	40038.812922	2173.956354	0.212184	-36.114070
139.873000	300.183665	86130.000000	43.000000	40150.665507	2177.231676	0.212780	-36.347580
140.264022	300.194640	86130.000000	43.000000	40183.001274	2209.920559	0.212947	-35.968139
140.656045	300.209607	86130.000000	43.000000	40472.528459	2130.334863	0.214488	-36.062184
141.047067	300.178676	86130.000000	43.000000	39749.199598	2152.100268	0.210664	-35.974619
141.440090	300.186658	86130.000000	43.000000	39956.993512	2147.110276	0.211746	-35.296790
141.832112	300.180671	86130.000000	43.000000	39908.578493	2128.692573	0.211494	-35.744356
142.222135	300.191647	86130.000000	43.000000	39743.249204	2177.059270	0.210614	-35.471919
142.613157	300.180671	86130.000000	43.000000	40178.106601	2166.852454	0.212926	-35.027617
143.006179	300.204618	86130.000000	43.000000	40089.158005	2158.950123	0.212447	-35.630841
143.398202	300.175682	86130.000000	43.000000	40010.450274	2162.143720	0.212046	-35.565979
143.789224	300.188654	86130.000000	43.000000	40048.607542	2162.198145	0.212229	-34.524917
144.181246	300.160716	86130.000000	43.000000	40044.004998	2140.577933	0.212213	-35.770291
144.573269	300.170693	86130.000000	43.000000	39857.911710	2147.273597	0.211209	-35.582187
144.965292	300.165705	86130.000000	43.000000	39915.400566	2151.220198	0.211520	-34.907606
145.356314	300.186658	86130.000000	43.000000	39952.228299	2164.067137	0.211712	-36.428665
145.747336	300.186658	86130.000000	43.000000	40063.102245	2171.189208	0.212313	-35.737861
146.140358	300.168698	86130.000000	43.000000	40126.830507	2130.706844	0.212651	-34.975715
146.533381	300.186658	86130.000000	43.000000	39764.686300	2147.400619	0.210720	-36.052456
146.924403	300.162711	86130.000000	43.000000	39911.744670	2166.589325	0.211511	-35.575707
147.316426	300.168698	86130.000000	43.000000	40092.881276	2152.798847	0.212455	-36.564883
147.709448	300.162711	86130.000000	43.000000	39966.926675	2127.821588	0.211792	-35.757332
148.100471	300.157722	86130.000000	43.000000	39740.926090	2137.121250	0.210590	-35.877327
148.490493	300.155727	86130.000000	43.000000	39827.427132	2229.272628	0.211046	-35.955164
148.881516	300.170693	86130.000000	43.000000	40657.770307	2191.094749	0.215444	-35.128141
149.272538	300.149740	86130.000000	43.000000	40310.685949	2205.511253	0.213615	-35.254632
149.663560	300.173687	86130.000000	43.000000	40446.871407	2140.568848	0.214323	-35.851376
150.055583	300.141758	86130.000000	43.000000	39853.507494	2197.155302	0.211194	-34.858968
150.448605	300.162711	86130.000000	43.000000	40374.204709	2147.908665	0.213932	-36.162723
150.839627	300.152733	86130.000000	43.000000	39924.003079	2151.265582	0.211561	-36.328125
151.230649	300.157722	86130.000000	43.000000	39957.845419	2163.295962	0.211733	-34.800586
151.621672	300.149740	86130.000000	43.000000	40063.909804	2150.285702	0.212299	-35.890302
152.014695	300.168698	86130.000000	43.000000	39949.507360	2147.627407	0.211687	-34.784379
152.405717	300.160716	86130.000000	43.000000	39918.324163	2218.793684	0.211534	-35.471919
152.797740	300.144751	86130.000000	43.000000	40562.135361	2164.529843	0.214941	-36.412442
153.190762	300.170693	86130.000000	43.000000	40080.568684	2154.676881	0.212379	-34.440600
153.584785	300.175682	86130.000000	43.000000	39981.283827	2136.912546	0.211869	-35.818945
153.975807	300.160716	86130.000000	43.000000	39819.465561	2162.434062	0.211015	-34.910854
154.368829	300.170693	86130.000000	43.000000	40055.147670	2163.350388	0.212254	-35.562732
161.027210	300.165705	86130.000000	43.000000	40290.107815	2142.410627	0.213501	-41.974537
161.419232	300.162711	86130.000000	43.000000	39877.994950	2165.573190	0.211319	-40.771306
161.809255	300.157722	86130.000000	43.000000	40087.971739	2159.421914	0.212429	-40.956178
162.201277	300.175682	86130.000000	43.000000	40034.048961	2125.009058	0.212140	-41.809135
162.593299	300.168698	86130.000000	43.000000	39716.048244	2154.368411	0.210467	-41.066445
162.985322	300.168698	86130.000000	43.000000	39984.855001	2119.783193	0.211887	-41.325891
163.376344	300.149740	86130.000000	43.000000	39670.142705	2146.801806	0.210219	-41.316164
163.767367	300.160716	86130.000000	43.000000	39922.530311	2206.482004	0.211544	-41.118331
164.158389	300.168698	86130.000000	43.000000	40457.024898	2163.912902	0.214384	-42.143170
164.550412	300.152733	86130.000000	43.000000	40072.207628	2175.235618	0.212350	-41.598328
164.941434	300.160716	86130.000000	43.000000	40179.172035	2169.574260	0.212906	-41.595080
165.332456	300.147744	86130.000000	43.000000	40125.460691	2178.311321	0.212627	-41.465357
165.726479	300.165705	86130.000000	43.000000	40208.386809	2138.237194	0.213058	-41.886957
166.117501	300.162711	86130.000000	43.000000	39839.913871	2168.666977	0.211117	-41.614536
166.509523	300.157722	86130.000000	43.000000	40116.617539	2154.622455	0.212581	-41.449134
